country,countryCode,population,landArea,medianAge,fertilityRate,
Afghanistan,004,34169169,653330,18,5.13
Albania,008,2911428,27389,34,1.78
Algeria,012,41063753,2387428,28,2.93
American Samoa,016,55653,200,N.A.,N.A.
Andorra,020,68728,470,N.A.,N.A.
Angola,024,26655513,1245585,16,6.2
Anguilla,660,14906,90,N.A.,N.A.
Antigua and Barbuda,028,93659,440,31,2.1
Argentina,032,44272125,2732847,31,2.35
Armenia,051,3031670,28466,35,1.55
Aruba,553,104588,180,40,1.68
Australia,036,24641662,7700519,38,1.92
Austria,040,8592400,82382,43,1.47
Azerbaijan,031,9973697,82632,31,2.3
Bahamas,044,397164,10004,32,1.89
Bangladesh,050,164827718,130175,26,2.23
Barbados,052,285744,430,39,1.79
Belarus,112,9458535,202973,40,1.58
Belgium,056,11443830,30283,42,1.82
Belize,084,374651,22845,24,2.64
Benin,204,11458611,112782,19,4.89
Bermuda,060,61352,50,N.A.,N.A.
Bhutan,064,792877,38119,27,2.1
Bolivia,068,11052864,1083614,24,3.04
Bosnia and Herzegovina,070,3792759,50978,42,1.28
Botswana,072,2343981,571703,24,2.9
Brazil,076,211243220,8349534,31,1.82
British Virgin Islands,092,31200,150,N.A.,N.A.
Brunei,096,434448,5272,31,1.9
Bulgaria,100,7045259,108556,44,1.52
Burkina Faso,854,19173322,273514,17,5.65
Burundi,108,11936481,25681,18,6.08
Cabo Verde,132,533468,4029,25,2.37
Cambodia,116,16076370,176469,24,2.7
Cameroon,120,24513689,472325,19,4.81
Canada,124,36626083,9156521,41,1.61
Cayman Islands,136,61557,240,N.A.,N.A.
Central African Republic,140,5098826,621808,20,4.41
Chad,148,14965482,1257604,16,6.31
Chile,152,18313495,744451,34,1.78
China,156,1388232693,9386293,37,1.55
Colombia,170,49067981,1110135,30,1.93
Comoros,174,825920,1861,20,4.6
Congo,178,4866243,342693,19,4.95
Cook Islands,184,21069,240,N.A.,N.A.
Costa Rica,188,4905626,51047,31,1.85
Côte d'Ivoire,384,23815886,317969,18,5.1
Croatia,191,4209815,55982,43,1.52
Cuba,192,11390184,106450,41,1.63
Curaçao,530,159987,444,41,2.1
Cyprus,196,1187575,9242,36,1.46
Czech Republic,203,10555130,77214,42,1.45
Denmark,208,5711837,42436,42,1.73
Djibouti,262,911382,23190,24,3.3
Dominica,212,73353,750,N.A.,N.A.
Dominican Republic,214,10766564,48324,26,2.53
DR Congo,180,82242685,2265639,17,6.15
Ecuador,218,16625776,248517,27,2.59
Egypt,818,95215102,994933,25,3.38
El Salvador,222,6167147,20723,27,1.97
Equatorial Guinea,226,894464,28040,21,4.97
Eritrea,232,5481906,100956,19,4.4
Estonia,233,1305755,42395,42,1.59
Ethiopia,231,104344901,1000430,19,4.59
Faeroe Islands,234,48335,1397,N.A.,N.A.
Falkland Islands,238,2919,14595,N.A.,N.A.
Fiji,242,902547,18270,28,2.61
Finland,246,5541274,304466,43,1.75
France,250,64938716,547544,41,2
French Guiana,254,282761,83165,25,3.48
French Polynesia,258,288685,3659,32,2.07
Gabon,266,1801232,257319,21,4
Gambia,270,2120418,10121,17,5.78
Georgia,268,3972532,69450,38,1.81
Germany,276,80636124,348621,46,1.39
Ghana,288,28656723,227615,21,4.25
Greece,300,10892931,128910,44,1.34
Greenland,304,56239,562390,N.A.,N.A.
Grenada,308.107850,340,27,2.18
Guadeloupe,312,472462,1690,39,2.17
Guam,316,174214,540,30,2.42
Guatemala,320,17005497,107155,21,3.3
Guinea,324,13290659,245668,19,5.13
Guinea-Bissau,624,1932871,28135,19,4.95
Guyana,328,774407,198566,25,2.6
Haiti,332,10983274,27562,23,3.13
Honduras,340,8304677,111923,23,2.47
Hungary,348,9787905,90545,41,1.34
Iceland,352,334303,101304,36,1.96
India,356,1342512706,2973450,27,2.48
Indonesia,360,263510146,1811066,28,2.5
Iran,364,80945718,1628686,30,1.75
Iraq,368,38654287,434318,19,4.64
Ireland,372,4749153,68928,37,2.01
Isle of Man,833,89045,570,N.A.,N.A.
